Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
Trade and Industry,Written,1546,41811,41818,On time
Police,Written,1548,41811,41857,very late
Human settlements ,Written,1549,41811,41850,late
Transport,Written,1550,41811,41817,on time
Home affairs,Written,1551,41811,41844,Late
Home affairs,Written,1552,41811,41828,Late
Home affairs,Written,1553,41811,41843,Late
Intl Relations and Cooperation,Written,1554,41811,41849,late
Home affairs,Written,1555,41811,41828,Late
Home affairs,Written,1556,41811,41835,Late
Home affairs,Written,1557,41811,41835,Late
Performance Monitoring,Written,1558,41811,41893,very late
Home affairs,Written,1559,41811,41909,very late
Home affairs,Written,1560,41811,41843,Late
Home affairs,Written,1561,41811,41835,Late
Home affairs,Written,1562,41811,41901,very late
Home affairs,Written,1563,41811,41822,On time
Home affairs,Written,1567,41811,41828,Late
Economic Development,Written,1568,41811,41831,late
Trade and Industry,Written,1571,41811,41825,On time
Justice and CD,Written,1572,41811,41844,late
Finance,Written,1573,41811,41825,on time
Finance,Written,1574,41811,41891,very late
Finance,Written,1575,41811,41832,Late
Trade and Industry,Written,1576,41811,41818,On time
Finance,Written,1577,41811,41837,Late
Labour,Written,1580,41811,41830,late
Science & Technology,Written ,1581,41811,41850,late
Science & Technology,Written ,1582,41811,41850,late
Science & Technology,Written ,1583,41811,41850,late
Intl Relations and Cooperation,Written,1584,41811,41828,late
Transport,Written,1585,41811,41817,on time
Transport,Written,1586,41811,41817,on time
Transport,Written,1587,41811,41817,on time
Labour,Written,1588,41811,41830,late
Police,Written,1589,41811,41831,late
Labour,Written,1590,41811,41830,late
Labour,Written,1591,41811,41830,late
Labour,Written,1592,41811,41830,late
Health ,Written,1599,41811,41837,late
Health ,Written,1601,41811,41823,on time
Police,Written,1603,41811,41857,very late
Police,Written,1604,41811,41831,late
Police,Written,1605,41811,41871,very late
Police,Written,1606,41811,41857,very late
Police,Written,1607,41811,41831,late
Police,Written,1608,41811,41934,very late
Rural Dev & Land Reforms,Written,1609,41811,41843,late
Intl Relations and Cooperation,Written,1611,41811,41893,very late
Justice and CD,Written,1612,41811,41844,late
Social Development,Written,1613,41811,41843,Late
Social Development,Written,1614,41811,41843,Late
Social Development,Written,1615,41811,41843,Late
Social Development,Written,1616,41811,41843,Late
Social Development,Written,1617,41811,41835,Late
Social Development,Written,1618,41811,41835,Late
Social Development,Written,1619,41811,41955,Very late
Health ,Written,1620,41811,41837,late
Transport,Written,1624,41811,41817,on time
Transport,Written,1625,41811,41817,on time
Transport,Written,1626,41811,41817,on time
Mineral resources,Written,1627,41811,41844,Late
Mineral resources,Written,1628,41811,41844,Late
Home affairs,Written,1629,41811,41828,Late
Home affairs,Written,1630,41811,41835,Late
Home affairs,Written,1631,41811,41822,On time
Home affairs,Written,1632,41811,41899,very late
Economic Development,Written,1634,41811,41823,on time
Trade and Industry,Written,1641,41811,41818,On time
State Security,Written,1642,41811,41867,very late
Police,Written,1644,41811,41857,very late
Health ,Written,1645,41811,41823,on time
Energy ,Written,1646,41811,41838,late
Water & Environmental affairs,Written,1648,41811,41821,on time
"Women, C&PwD",Written,1649,41811,41863,very late
Performance Monitoring,Written,1650,41811,41857,very late
Energy ,Written,1651,41811,41838,late
Water & Environmental affairs,Written,1652,41811,41823,on time
Police,Written,1653,41811,41831,late
Police,Written,1654,41811,41831,late
Finance,Written,1655,41811,41837,Late
Finance,Written,1656,41811,41837,Late
Finance,Written,1657,41811,41837,Late
Trade and Industry,Written,1658,41811,41824,On time
Police,Written,1661,41811,41857,very late
Higher education and training,Written,1662,41811,41824,on time
Public Works,Written,1663,41846,41880,Late
State Security,Written,1664,41846,41849,On time
Finance,Written,1665,41846,41893,very late
Justice and CD,Written,1669,41846,41870,late
Police,Written,1670,41846,41871,late
Police,Written,1671,41846,41885,late
Police,Written,1675,41846,41871,late
Home affairs,Written,1676,41846,41865,Late
Intl Relations and Cooperation,Written,1677,41846,41857,on time
Home affairs,Written,1678,41846,41865,Late
Police,Written,1679,41846,41871,late
Health ,Written,1684,41846,41898,very late
Health ,Written,1685,41846,41857,on time
Sport & Recreation ,Written,1686,41846,41912,very late
Sport & Recreation ,Written,1687,41846,41871,late
Sport & Recreation ,Written,1688,41846,41914,very late
Public Works,Written,1691,41846,41888,Late
Performance Monitoring,Written,1692,41846,41956,very late
Justice and CD,Written,1693,41846,41870,late
Performance Monitoring,Written,1694,41846,41961,very late
State Security,Written,1695,41846,41849,On time
Trade and Industry,Written,1697,41846,41852,On time
Mineral resources,Written,1700,41846,41867,Late
Rural Dev & Land Reforms,Written,1701,41846,41951,very late
Mineral resources,Written,1702,41846,41871,Late
Mineral resources,Written,1703,41846,41871,Late
Mineral resources,Written,1705,41846,41872,Late
Mineral resources,Written,1706,41846,41871,Late
Mineral resources,Written,1707,41846,41871,Late
Trade and Industry,Written,1708,41846,41852,On time
Rural Dev & Land Reforms,Written,1709,41846,41926,very late
Rural Dev & Land Reforms,Written,1710,41846,41871,late
Rural Dev & Land Reforms,Written,1711,41846,41985,very late
Health ,Written,1712,41846,41857,on time
Economic Development,Written,1713,41846,41870,late
Water & Environmental affairs,Written,1714,41846,41871,late
Water & Environmental affairs,Written,1715,41846,41871,late
Science & Technology,Written ,1716,41846,41859,on time
Science & Technology,Written ,1717,41846,41856,on time
Science & Technology,Written ,1718,41846,41859,on time
Labour,Written,1719,41846,41870,late
Economic Development,Written,1720,41846,41872,late
Rural Dev & Land Reforms,Written,1721,41846,41886,late
Transport,Written,1722,41846,41870,late
Water & Environmental affairs,Written,1723,41846,41864,late
Energy ,Written,1724,41846,41913,very late
Energy ,Written,1725,41846,41913,very late
Rural Dev & Land Reforms,Written,1727,41846,41886,late
Transport,Written,1728,41846,41870,late
Rural Dev & Land Reforms,Written,1729,41846,41969,very late
Transport,Written,1730,41846,41856,on time
Police,Written,1731,41846,41871,late
Transport,Written,1732,41846,41871,late
Performance Monitoring,Written,1733,41846,41902,very late
Transport,Written,1734,41846,41856,on time
Rural Dev & Land Reforms,Written,1735,41846,41944,very late
Rural Dev & Land Reforms,Written,1736,41846,41969,very late
Social Development,Written,1737,41846,41899,Very late
Social Development,Written,1738,41846,41899,Very late
Tourism,Written,1739,41846,41857,on time
Social Development,Written,1740,41846,41899,Very late
Justice and CD,Written,1741,41846,41870,late
Justice and CD,Written,1742,41846,41870,late
Justice and CD,Written,1744,41846,41870,late
Justice and CD,Written,1746,41846,41870,late
Finance,Written,1747,41846,41866,Late
Water & Environmental affairs,Written,1748,41846,41870,late
Health ,Written,1749,41846,41857,on time
Economic Development,Written,1757,41846,41870,late
Energy ,Written,1758,41846,41913,very late
Higher education and training,Written,1759,41846,41857,on time
Home affairs,Written,1760,41846,41866,Late
Human settlements ,Written,1761,41846,41864,late
Intl Relations and Cooperation,Written,1762,41846,41873,late
Justice and CD,Written,1763,41846,41870,late
Labour,Written,1764,41846,41870,late
Mineral resources,Written,1765,41846,41866,Late
Police,Written,1766,41846,41871,late
Public Enterprises,Written,1767,41846,41858,on time
Public S and Administration,Written,1768,41846,41985,very late
Public Works,Written,1769,41846,41880,Late
Rural Dev & Land Reforms,Written,1770,41846,41871,late
Science & Technology,Written ,1771,41846,41858,on time
Social Development,Written,1772,41846,41899,Very late
Sport & Recreation ,Written,1773,41846,41914,very late
State Security,Written,1774,41846,41849,On time
Tourism,Written,1775,41846,41850,on time
Transport,Written,1776,41846,41871,late
Trade and Industry,Written,1777,41846,41851,On time
"Women, C&PwD",Written,1778,41846,41933,very late
Performance Monitoring,Written,1779,41846,41871,late
Finance,Written,1780,41846,41893,very late
Finance,Written,1781,41846,41905,very late
Water & Environmental affairs,Written,1782,41846,41867,late
Health ,Written,1783,41846,41857,on time
Economic Development,Written,1791,41846,41856,on time
Energy ,Written,1792,41846,41913,very late
Higher education and training,Written,1793,41846,41857,on time
Human settlements ,Written,1794,41846,41864,late
Intl Relations and Cooperation,Written,1795,41846,41870,late
Justice and CD,Written,1796,41846,41870,late
Labour,Written,1797,41846,41870,late
Mineral resources,Written,1798,41846,41871,Late
Police,Written,1799,41846,41871,late
Public Enterprises,Written,1800,41846,41872,late
Public S and Administration,Written,1801,41846,41870,late
Rural Dev & Land Reforms,Written,1802,41846,41871,late
Science & Technology,Written ,1803,41846,41865,late
Social Development,Written,1804,41846,41934,Very late
Sport & Recreation ,Written,1805,41846,41871,late
State Security,Written,1806,41846,41867,late
Tourism,Written,1807,41846,41857,on time
Transport,Written,1808,41846,41871,late
Trade and Industry,Written,1809,41846,41852,On time
"Women, C&PwD",Written,1810,41846,41933,very late
Performance Monitoring,Written,1811,41846,41902,very late
Min in the Pres: Nat Planning,Written,1812,41846,41863,on time
Min in the Pres: Nat Planning,Written,1813,41846,41863,on time
Finance,Written,1814,41846,41878,Late
Water & Environmental affairs,Written,1815,41846,41863,on time
Health ,Written,1816,41846,41857,on time
Economic Development,Written,1824,41846,41871,late
Energy ,Written,1825,41846,41913,very late
Higher education and training,Written,1826,41846,41857,on time
Home affairs,Written,1827,41846,41859,On time
Human settlements ,Written,1828,41846,41866,late
Intl Relations and Cooperation,Written,1829,41846,41877,late
Justice and CD,Written,1830,41846,41870,late
Labour,Written,1831,41846,41870,late
Mineral resources,Written,1832,41846,41885,Late
Police,Written,1833,41846,41871,late
Public Enterprises,Written,1834,41846,41863,on time
Public S and Administration,Written,1835,41846,41870,late
Public Works,Written,1836,41846,41899,very late
Rural Dev & Land Reforms,Written,1837,41846,41885,late
Science & Technology,Written ,1838,41846,41870,late
Social Development,Written,1839,41846,41899,Very late
Sport & Recreation ,Written,1840,41846,41871,late
State Security,Written,1841,41846,41867,late
Tourism,Written,1842,41846,41853,on time
Transport,Written,1843,41846,41856,on time
Trade and Industry,Written,1844,41846,41852,On time
"Women, C&PwD",Written,1845,41846,41899,very late
Performance Monitoring,Written,1846,41846,41902,very late
Transport,Written,1848,41846,41856,on time
Higher education and training,Written,1850,41846,41864,late
Min in the Pres: Nat Planning,Written,1851,41846,41863,on time
Police,Written,1855,41846,41871,late
Police,Written,1856,41846,41871,late
Health ,Written,1857,41846,41857,on time
Min in the Pres: Nat Planning,Written,1859,41846,41863,on time
Energy ,Written,1862,41846,41913,very late
Trade and Industry,Written,1864,41846,41851,On time
Transport,Written,1865,41846,41856,on time
Energy ,Written,1866,41846,41913,very late
Public S and Administration,Written,1868,41846,41871,late
Public Works,Written,1869,41846,41933,very late
Tourism,Written,1870,41853,41870,on time
Public Works,Written,1871,41853,41899,very late
Police,Written,1873,41853,41871,late
Rural Dev & Land Reforms,Written,1874,41853,41926,very late
Min in the Pres: Nat Planning,Written,1875,41853,41867,on time
Home affairs,Written,1879,41853,41865,On time
Home affairs,Written,1880,41853,41870,Late
Home affairs,Written,1881,41853,41870,Late
Rural Dev & Land Reforms,Written,1885,41853,41878,late
Social Development,Written,1886,41853,41899,Very late
Health ,Written,1887,41853,41898,very late
Intl Relations and Cooperation,Written,1890,41853,41877,late
Police,Written,1891,41853,41871,late
Police,Written,1892,41853,41871,late
Police,Written,1893,41853,41871,late
Mineral resources,Written,1894,41853,41885,Late
Mineral resources,Written,1895,41853,41867,on time
Mineral resources,Written,1896,41853,41871,Late
Mineral resources,Written,1897,41853,41885,Late
Science & Technology,Written ,1898,41853,41884,late
Finance,Written,1899,41853,41982,very late
Water & Environmental affairs,Written,1900,41853,41870,on time
Health ,Written,1901,41853,41898,very late
Economic Development,Written,1909,41853,41870,on time
Energy ,Written,1910,41853,41919,very late
Higher education and training,Written,1911,41853,41880,late
Home affairs,Written,1912,41853,41899,very late
Human settlements ,Written,1913,41853,41895,late
Intl Relations and Cooperation,Written,1914,41853,41936,very late
Justice and CD,Written,1915,41853,41870,late
Mineral resources,Written,1917,41853,41871,Late
Police,Written,1918,41853,41871,late
Public Enterprises,Written,1919,41853,41979,very late
Public S and Administration,Written,1920,41853,41874,late
Public Works,Written,1921,41853,41899,very late
Rural Dev & Land Reforms,Written,1922,41853,41884,late
Science & Technology,Written ,1923,41853,41895,late
Social Development,Written,1924,41853,41985,Very late
Sport & Recreation ,Written,1925,41853,41913,very late
State Security,Written,1926,41853,41871,late
Tourism,Written,1927,41853,41870,on time
Transport,Written,1928,41853,41962,very late
Trade and Industry,Written,1929,41853,41859,On time
"Women, C&PwD",Written,1930,41853,41951,very late
Performance Monitoring,Written,1931,41853,41971,very late
Labour,Written,1932,41853,41885,late
Energy ,Written,1933,41853,41919,very late
Intl Relations and Cooperation,Written,1934,41853,41857,on time
Rural Dev & Land Reforms,Written,1935,41853,41884,late
Mineral resources,Written,1936,41853,41867,on time
Mineral resources,Written,1937,41853,41867,on time
Higher education and training,Written,1938,41853,41879,late
Higher education and training,Written,1939,41853,41872,late
Higher education and training,Written,1940,41853,41913,very late
Rural Dev & Land Reforms,Written,1944,41853,41886,late
Min in the Pres: Nat Planning,Written,1945,41853,41863,on time
Min in the Pres: Nat Planning,Written,1946,41853,41863,on time
Min in the Pres: Nat Planning,Written,1947,41853,41863,on time
Social Development,Written,1951,41853,41899,Very late
Tourism,Written,1952,41853,41871,late
Tourism,Written,1953,41853,41870,on time
Trade and Industry,Written,1954,41853,41867,On time
Transport,Written,1955,41853,41871,late
Transport,Written,1956,41853,41870,late
Finance,Written,1957,41853,41878,Late
Finance,Written,1958,41853,41878,Late
Water & Environmental affairs,Written,1959,41853,41866,on time
Justice and CD,Written,1961,41853,41870,late
Justice and CD,Written,1962,41853,41870,late
Health ,Written,1963,41853,41984,very late
Performance Monitoring,Written,1964,41853,41884,late
Tourism,Written,1965,41853,41870,on time
Tourism,Written,1966,41853,41870,on time
Tourism,Written,1967,41853,41867,on time
Finance,Written,1968,41853,41878,Late
Social Development,Written,1969,41853,41899,Very late
Police,Written,1970,41853,41871,late
Human settlements ,Written,1976,41853,41916,very late
Public Enterprises,Written,1971,41859,41863,on time
Defence & MVs,Written,1972,41859,41899,late
Rural Dev & Land Reforms,Written,1973,41859,41901,late
Police,Written,1974,41859,41885,late
Rural Dev & Land Reforms,Written,1977,41859,41926,very late
Health ,Written,1978,41859,41898,late
Sport & Recreation ,Written,1979,41859,41872,on time
Mineral resources,Written,1980,41859,41885,Late
Health ,Written,1981,41859,41985,very late
Defence & MVs,Written,1982,41859,41885,late
Defence & MVs,Written,1983,41859,41885,late
Defence & MVs,Written,1984,41859,41885,late
Home affairs,Written,1985,41859,41899,Late
Home affairs,Written,1986,41859,41873,very late
Home affairs,Written,1987,41859,41873,very late
Defence & MVs,Written,1988,41859,41885,late
Police,Written,1989,41859,41885,late
Police,Written,1990,41859,41886,late
Police,Written,1991,41859,41885,late
Defence & MVs,Written,1992,41859,41886,late
Defence & MVs,Written,1993,41859,41885,late
Social Development,Written,1997,41859,41899,Late
Defence & MVs,Written,1998,41859,41934,very late
Energy ,Written,2004,41859,41919,very late
Police,Written,2005,41859,41885,late
Energy ,Written,2007,41859,41948,very late
Transport,Written,2008,41859,41884,late
Performance Monitoring,Written,2009,41859,41892,late
Water & Environmental affairs,Written,2012,41859,41867,on time
Labour,Written,2013,41859,41870,on time
Transport,Written,2014,41859,41884,late
Health ,Written,2015,41859,41898,late
Transport,Written,2016,41859,41884,late
Trade and Industry,Written,2019,41859,41867,On time
Public S and Administration,Written,2020,41859,41895,late
Public S and Administration,Written,2021,41859,41895,late
Police,Written,2022,41859,41885,late
Min in the Pres: Nat Planning,Written,2023,41859,41867,on time
Public Enterprises,Written,2026,41867,41885,late
Transport,Written,2027,41867,41884,late
Defence & MVs,Written,2029,41867,41920,very late
Trade and Industry,Written,2031,41867,41874,On time
Sport & Recreation ,Written,2032,41867,41902,late
Public Works,Written,2033,41867,41884,Late
Public Works,Written,2034,41867,41885,Late
Public Works,Written,2035,41867,41901,Late
Police,Written,2036,41867,41885,late
Rural Dev & Land Reforms,Written,2037,41867,41926,very late
Health ,Written,2038,41867,41898,late
Economic Development,Written,2039,41867,41880,on time
Home affairs,Written,2043,41867,41879,On time
Home affairs,Written,2044,41867,41873,On time
Home affairs,Written,2045,41867,41899,Late
Higher education and training,Written,2049,41867,41879,on time
Higher education and training,Written,2050,41867,41893,late
Higher education and training,Written,2051,41867,41880,on time
Health ,Written,2052,41867,41898,late
Health ,Written,2053,41867,41943,very late
Health ,Written,2054,41867,41962,very late
Health ,Written,2055,41867,41899,late
Justice and CD,Written,2059,41867,41885,late
Public Works,Written,2060,41867,41920,very late
Water & Environmental affairs,Written,2061,41867,41879,on time
Water & Environmental affairs,Written,2063,41867,41885,late
Police,Written,2064,41867,41885,late
Justice and CD,Written,2065,41867,41885,late
Police,Written,2066,41867,41885,late
Police,Written,2067,41867,41885,late
Public Works,Written,2068,41867,41888,Late
Min in the Pres: Nat Planning,Written,2069,41867,41878,on time
Min in the Pres: Nat Planning,Written,2070,41867,41878,on time
Min in the Pres: Nat Planning,Written,2071,41867,41878,on time
Defence & MVs,Written,2072,41867,41885,late
Defence & MVs,Written,2073,41867,41885,late
Defence & MVs,Written,2074,41867,41885,late
Finance,Written,2075,41867,41948,very late
Finance,Written,2076,41867,41927,very late
Finance,Written,2077,41867,41948,very late
Social Development,Written,2078,41867,41899,Late
Social Development,Written,2079,41867,41934,Very late
Police,Written,2080,41867,41885,late
Human settlements ,Written,2081,41867,41915,very late
Human settlements ,Written,2082,41867,41915,very late
Human settlements ,Written,2083,41867,41919,very late
Tourism,Written,2084,41867,41884,late
Finance,Written,2086,41867,41893,Late
Water & Environmental affairs,Written,2087,41867,41878,on time
Health ,Written,2088,41867,41898,late
Defence & MVs,Written,2095,41867,41872,on time
Economic Development,Written,2096,41867,41878,on time
Energy ,Written,2097,41867,41919,very late
Higher education and training,Written,2098,41867,41872,on time
Home affairs,Written,2099,41867,41879,On time
Human settlements ,Written,2100,41867,41895,late
Intl Relations and Cooperation,Written,2101,41867,41880,on time
Justice and CD,Written,2102,41867,41885,late
Labour,Written,2103,41867,41885,late
Mineral resources,Written,2104,41867,41885,Late
Police,Written,2105,41867,41885,late
Public Enterprises,Written,2106,41867,41877,on time
Public S and Administration,Written,2107,41867,41884,late
Public Works,Written,2108,41867,41885,Late
Rural Dev & Land Reforms,Written,2109,41867,41884,late
Science & Technology,Written ,2110,41867,41878,on time
Social Development,Written,2111,41867,41947,Very late
Sport & Recreation ,Written,2112,41867,41914,very late
State Security,Written,2113,41867,41871,On time
Tourism,Written,2114,41867,41870,on time
Transport,Written,2115,41867,41884,late
Trade and Industry,Written,2116,41867,41873,On time
"Women, C&PwD",Written,2117,41867,41899,late
Performance Monitoring,Written,2118,41867,41902,late
Finance,Written,2119,41867,41965,very late
Water & Environmental affairs,Written,2120,41867,41885,late
Health ,Written,2121,41867,41943,very late
Defence & MVs,Written,2128,41867,41962,very late
Economic Development,Written,2129,41867,41885,late
Energy ,Written,2130,41867,41920,very late
Higher education and training,Written,2131,41867,41887,late
Home affairs,Written,2132,41867,41879,On time
Human settlements ,Written,2133,41867,41916,very late
Intl Relations and Cooperation,Written,2134,41867,41920,very late
Justice and CD,Written,2135,41867,41885,late
Labour,Written,2136,41867,41919,very late
Mineral resources,Written,2137,41867,41885,Late
Police,Written,2138,41867,41885,late
Public Enterprises,Written,2139,41867,41885,late
Public S and Administration,Written,2140,41867,41895,late
Public Works,Written,2141,41867,41885,Late
Rural Dev & Land Reforms,Written,2142,41867,41926,very late
Science & Technology,Written ,2143,41867,41888,late
Social Development,Written,2144,41867,41947,Very late
Sport & Recreation ,Written,2145,41867,41912,very late
State Security,Written,2146,41867,41927,very late
Tourism,Written,2147,41867,41885,late
Transport,Written,2148,41867,41884,late
Trade and Industry,Written,2149,41867,41873,On time
"Women, C&PwD",Written,2150,41867,41899,late
Performance Monitoring,Written,2151,41867,41887,late
Intl Relations and Cooperation,Written,2152,41867,41880,on time
Transport,Written,2153,41867,41884,late
Transport,Written,2154,41867,41884,late
Health ,Written,2155,41867,41985,very late
Transport,Written,2156,41867,41884,late
Labour,Written,2158,41867,41885,late
Transport,Written,2159,41867,41884,late
Finance,Written,2160,41867,41895,Late
Finance,Written,2161,41867,41962,very late
Finance,Written,2162,41867,41895,Late
Defence & MVs,Written,2163,41867,41899,late
Police,Written,2164,41867,41885,late
Energy ,Written,2167,41867,41919,very late
Police,Written,2168,41867,41885,late
Health ,Written,2169,41867,41943,very late
Health ,Written,2170,41867,41898,late
Finance,Written,2171,41867,41948,very late
Social Development,Written,2172,41867,41899,Late
Min in the Pres: Nat Planning,Written,2173,41867,41878,on time
Police,Oral,201,41872,41873,on time
Police,Oral,202,41872,41873,on time
Home affairs,Oral,203,41872,41873,on time
Defence & MVs,Oral,204,41872,41873,on time
Police,Oral,205,41872,41873,on time
Defence & MVs,Oral,206,41872,41873,on time
Intl Relations and Cooperation,Oral,207,41872,41872,on time
Intl Relations and Cooperation,Oral,208,41872,41872,on time
Defence & MVs,Oral,209,41872,41873,on time
Defence & MVs,Oral,210,41872,41873,on time
Intl Relations and Cooperation,Oral,211,41872,41872,on time
Police,Oral,212,41872,41873,on time
Correctional Services,Oral,213,41872,41874,late
Correctional Services,Oral,214,41872,41874,late
Correctional Services,Oral,215,41872,41874,late
Correctional Services,Oral,216,41872,41874,late
Police,Oral,217,41872,41873,on time
Intl Relations and Cooperation,Oral,218,41872,41872,on time
Intl Relations and Cooperation,Oral,219,41872,41872,on time
Police,Oral,220,41872,41873,on time
Police,Oral,221,41872,41873,on time
Defence & MVs,Oral,222,41872,41873,on time
Correctional Services,Oral,223,41872,41874,late
Correctional Services,Oral,224,41872,41874,late
Home affairs,Oral,225,41872,41873,on time
Home affairs,Oral,226,41872,41873,on time
Defence & MVs,Oral,227,41872,41873,on time
Police,Oral,228,41872,41873,on time
Home affairs,Oral,229,41872,41873,on time
Home affairs,Oral,230,41872,41873,on time
Intl Relations and Cooperation,Oral,231,41872,41872,on time
Intl Relations and Cooperation,Oral,232,41872,41872,on time
Intl Relations and Cooperation,Oral,233,41872,41872,on time
Police,Oral,234,41872,41873,on time
Justice and CD,Oral,235,41872,41877,late
Justice and CD,Oral,236,41872,41877,late
Justice and CD,Oral,237,41872,41877,late
Justice and CD,Oral,238,41872,41877,late
Justice and CD,Oral,239,41872,41877,late
Police,Oral,240,41872,41873,on time
Defence & MVs,Oral,10,41872,41872,on time
Defence & MVs,Oral,11,41872,41905,late
Defence & MVs,Oral,12,41872,41866,on time
Defence & MVs,Oral,13,41872,41872,on time
Defence & MVs,Oral,14,41872,41863,on time
Defence & MVs,Oral,15,41872,41870,on time
Defence & MVs,Oral,16,41872,41866,on time
Defence & MVs,Oral,17,41872,41872,on time
Defence & MVs,Oral,18,41872,41871,on time
Defence & MVs,Oral,19,41872,41871,on time
Defence & MVs,Oral,20,41872,41872,on time
Defence & MVs,Oral,5,41872,41872,on time
Defence & MVs,Oral,6,41872,41871,on time
Defence & MVs,Oral,7,41872,41871,on time
Defence & MVs,Oral,8,41872,41866,on time
Defence & MVs,Oral,9,41872,41866,on time
Human settlements ,Written,2174,41874,41916,late
Human settlements ,Written,2175,41874,41919,very late
Human settlements ,Written,2176,41874,41907,late
Sport & Recreation ,Written,2177,41874,41913,late
Public Works,Written,2180,41874,41888,on time
Transport,Written,2182,41874,41899,late
Home affairs,Written,2185,41874,41891,Late
Home affairs,Written,2186,41874,41891,Late
Home affairs,Written,2187,41874,41891,Late
Defence & MVs,Written,2188,41874,41920,very late
Defence & MVs,Written,2189,41874,41899,late
Defence & MVs,Written,2193,41874,41885,on time
Justice and CD,Written,2194,41874,41885,on time
Finance,Written,2195,41874,41901,Late
Higher education and training,Written,2196,41874,41887,on time
Higher education and training,Written,2197,41874,41887,on time
Higher education and training,Written,2198,41874,41919,very late
Higher education and training,Written,2199,41874,41887,on time
Higher education and training,Written,2200,41874,41893,late
Higher education and training,Written,2201,41874,41905,late
Police,Written,2202,41874,41885,on time
Finance,Written,2203,41874,41943,very late
Sport & Recreation ,Written,2207,41874,41942,very late
Sport & Recreation ,Written,2208,41874,41912,late
Sport & Recreation ,Written,2209,41874,41902,late
Public Works,Written,2210,41874,41885,on time
Public Works,Written,2211,41874,41885,on time
Labour,Written,2212,41874,41885,on time
Public Enterprises,Written,2213,41874,41901,late
Public Works,Written,2214,41874,41885,on time
Labour,Written,2216,41874,41885,on time
Science & Technology,Written ,2217,41874,41884,on time
Rural Dev & Land Reforms,Written,2218,41874,41985,very late
Science & Technology,Written ,2219,41874,41884,on time
Transport,Written,2220,41874,41899,late
Transport,Written,2221,41874,41899,late
Transport,Written,2222,41874,41899,late
Transport,Written,2223,41874,41899,late
Rural Dev & Land Reforms,Written,2224,41874,41920,very late
Rural Dev & Land Reforms,Written,2225,41874,41951,very late
Transport,Written,2226,41874,41919,very late
Transport,Written,2228,41874,41899,late
Min in the Pres: Nat Planning,Written,2230,41874,41887,on time
Min in the Pres: Nat Planning,Written,2231,41874,41887,on time
Min in the Pres: Nat Planning,Written,2232,41874,41887,on time
Transport,Written,2234,41874,41919,very late
Transport,Written,2235,41874,41899,late
Transport,Written,2236,41874,41899,late
Human settlements ,Written,2237,41874,41894,late
Social Development,Written,2239,41874,41947,Very late
Social Development,Written,2240,41874,41899,Late
Police,Written,2241,41874,41899,late
Police,Written,2242,41874,41885,on time
"Women, C&PwD",Written,2243,41874,41961,very late
"Women, C&PwD",Written,2244,41874,41899,late
Human settlements ,Written,2245,41874,41916,late
Human settlements ,Written,2246,41874,41919,very late
Human settlements ,Written,2247,41874,41894,late
Intl Relations and Cooperation,Written,2248,41874,41902,late
Health ,Written,2249,41874,41984,very late
Health ,Written,2251,41874,41983,very late
Police,Written,2252,41874,41899,late
Police,Written,2254,41874,41899,late
Water & Environmental affairs,Written,2258,41874,41893,late
Water & Environmental affairs,Written,2259,41874,41887,on time
Human settlements ,Written,2261,41874,41895,late
Trade and Industry,Written,2262,41874,41886,On time
Labour,Written,2264,41874,41919,very late
Health ,Written,2265,41874,41943,very late
Public S and Administration,Written,2266,41874,41884,on time
Public S and Administration,Written,2267,41874,41899,late
Public S and Administration,Written,2268,41874,41884,on time
Water & Environmental affairs,Written,2269,41874,41878,on time
Water & Environmental affairs,Written,2271,41874,41885,on time
Trade and Industry,Written,2272,41874,41886,On time
Public Enterprises,Written,2273,41874,41885,on time
Public Enterprises,Written,2274,41874,41885,on time
Higher education and training,Written,2275,41874,41887,on time
Transport,Written,2281,41874,41899,late
Transport,Written,2282,41874,41899,late
Justice and CD,Written,2285,41874,41885,on time
Health ,Oral,241,41893,41894,on time
Health ,Oral,246,41893,41894,on time
Health ,Oral,249,41893,41894,on time
Health ,Oral,250,41893,41894,on time
Sport & Recreation ,Oral,251,41893,41894,on time
Social Development,Oral,253,41893,41893,on time
Social Development,Oral,254,41893,41893,on time
Social Development,Oral,255,41893,41893,on time
Social Development,Oral,256,41893,41893,on time
Sport & Recreation ,Oral,257,41893,41894,on time
Sport & Recreation ,Oral,258,41893,41894,on time
Sport & Recreation ,Oral,259,41893,41894,on time
Sport & Recreation ,Oral,260,41893,41894,on time
Sport & Recreation ,Oral,261,41893,41894,on time
Sport & Recreation ,Oral,262,41893,41894,on time
Human settlements ,Oral,265,41893,41894,on time
Health ,Oral,266,41893,41894,late
Sport & Recreation ,Oral,268,41893,41894,on time
Social Development,Oral,269,41893,41893,on time
Health ,Oral,270,41893,41894,late
Social Development,Oral,272,41893,41893,on time
Human settlements ,Oral,273,41893,41894,on time
Sport & Recreation ,Oral,276,41893,41894,on time
Higher education and training,Oral,281,41893,41899,late
Health ,Oral,282,41893,41943,late
Health ,Oral,283,41893,41894,late
Health ,Oral,284,41893,41894,late
Social Development,Oral,285,41893,41893,on time
Health ,Oral,289,41893,41894,late
Higher education and training,Oral,290,41893,41894,on time
Higher education and training,Oral,291,41893,41899,late
Human settlements ,Oral,292,41893,41894,on time
Social Development,Oral,293,41893,41893,on time
